Date,Ticker,Close,Pct_Down_20d,Pct_Down_52w,Last_2d_Pct,RSI,SMA50,SMA200,Market_Cap_B,Earnings_Days
2026-02-13,URI,869.5,9.3,14.5,0.0,51.0,854.04,839.56,55.3,
2026-02-13,CVS,78.48,6.6,7.1,0.7,53.0,78.03,71.5,99.8,
