Date,Ticker,Close,Pct_Down_20d,Pct_Down_52w,Last_2d_Pct,RSI,SMA50,SMA200,Market_Cap_B,Earnings_Days
2026-02-12,BA,239.35,5.9,5.9,1.3,54.0,226.65,216.06,188.0,
2026-02-12,CINF,165.11,5.3,5.3,1.0,53.0,163.38,154.4,25.8,
2026-02-12,NXPI,242.19,5.5,5.5,-3.0,57.0,230.25,216.9,61.1,
