Date,Ticker
2026-02-12,BA
2026-02-12,CINF
2026-02-12,NXPI
2026-02-13,URI
2026-02-13,CVS
2026-02-17,BK
2026-02-17,PFG
2026-02-17,SBUX
2026-02-18,BK
2026-02-18,CNC
2026-02-18,CSCO
2026-02-18,EMR
2026-02-18,GD
2026-02-18,HBAN
2026-02-18,PFG
2026-02-18,URI
2026-02-18,SBUX
2026-02-18,C
2026-02-18,NTRS
2026-02-18,APH
2026-02-18,IBKR
2026-02-18,TFC
2026-02-18,HLT
2026-02-20,MMM
2026-02-20,PNC
2026-02-20,USB
2026-02-20,PCAR
2026-02-20,RF
2026-02-20,RCL
2026-02-20,TXN
2026-02-20,MAR
